ID,Category,Feedback,Sentiment,Date
60,Public Welfare,There should be more transparency in government welfare programs.,Neutral,13-02-2023
61,Public Transport,Need more bus stops in suburban areas.,Neutral,27-09-2023
62,Public Welfare,There should be more transparency in government welfare programs.,Neutral,18-04-2024
63,Road Infrastructure,Better road signs and signals are needed in rural areas.,Neutral,14-10-2024
64,Education,The new education policy is beneficial for students.,Negative,19-10-2023
65,Digital Services,The passport application process was smooth and quick.,Neutral,13-02-2024
66,Healthcare,Government hospital staff was very rude.,Neutral,12-08-2024
67,Water Supply,Water supply is irregular in my locality.,Negative,03-11-2023
68,Law & Order,The new security cameras have improved safety.,Neutral,03-06-2023
69,Public Transport,Need more bus stops in suburban areas.,Positive,21-02-2024
70,Electricity,The new solar power initiatives are great.,Neutral,04-08-2023
71,Electricity,Electricity bills are increasing without clear justification.,Positive,19-08-2024
72,Electricity,Power cuts are frequent in my area.,Positive,09-04-2024
73,Education,Midday meal quality should be monitored more strictly.,Neutral,06-05-2024
74,Road Infrastructure,Better road signs and signals are needed in rural areas.,Neutral,03-05-2023
75,Electricity,Streetlights are not working properly.,Negative,05-07-2023
76,Healthcare,Waiting times at public hospitals are too long.,Positive,23-09-2024
77,Sanitation,Public toilets need better maintenance.,Neutral,23-11-2023
78,Electricity,Streetlights are not working properly.,Neutral,08-02-2023
79,Healthcare,Medicines are often out of stock at government pharmacies.,Positive,08-09-2023
80,Public Transport,"Public transport needs better safety measures, especially at night.",Positive,12-09-2023
81,Road Infrastructure,Footpaths should be maintained better for pedestrians.,Neutral,18-05-2024
82,Education,Midday meal quality should be monitored more strictly.,Positive,21-06-2024
83,Healthcare,Ambulance services are not timely and need improvement.,Negative,11-02-2024
84,Road Infrastructure,Footpaths should be maintained better for pedestrians.,Negative,06-09-2023
85,Electricity,Electricity bills are increasing without clear justification.,Negative,10-02-2024
86,Electricity,Power cuts are frequent in my area.,Negative,14-09-2023
87,Law & Order,There are too many traffic rule violations happening.,Neutral,16-11-2023
88,Public Transport,Traffic congestion is getting worse due to poor planning.,Negative,11-10-2024
89,Road Infrastructure,Footpaths should be maintained better for pedestrians.,Negative,05-02-2024
90,Electricity,Streetlights are not working properly.,Neutral,13-02-2023
91,Digital Services,The new mobile app for public services is user-friendly.,Neutral,03-05-2023
92,Sanitation,Garbage collection is not regular in our area.,Positive,16-04-2023
93,Healthcare,Government hospital staff was very rude.,Positive,19-09-2023
94,Water Supply,"Water pipelines keep leaking, causing wastage.",Negative,25-01-2024
95,Water Supply,There should be more awareness about water conservation.,Negative,28-09-2023
96,Electricity,The new solar power initiatives are great.,Negative,08-04-2024
97,Healthcare,Medicines are often out of stock at government pharmacies.,Negative,03-03-2023
98,Public Welfare,Job fairs organized by the government are very helpful.,Neutral,08-10-2024
99,Education,The new education policy is beneficial for students.,Positive,06-04-2023
100,Digital Services,E-governance services need better customer support.,Neutral,08-03-2023
101,Education,The new education policy is beneficial for students.,Positive,03-07-2023
102,Law & Order,The new security cameras have improved safety.,Neutral,19-01-2024
103,Education,Online learning resources provided by the government are useful.,Negative,25-02-2024
104,Education,Government schools need more qualified teachers.,Negative,16-04-2023
105,Sanitation,Drainage systems get blocked during monsoons.,Neutral,26-02-2023
106,Public Transport,"Metro services are efficient, but the fares are increasing.",Negative,24-09-2024
107,Road Infrastructure,Potholes on highways are dangerous.,Positive,20-04-2023
108,Road Infrastructure,Footpaths should be maintained better for pedestrians.,Positive,22-09-2023
109,Law & Order,Street crimes have increased in recent months.,Positive,04-04-2024
110,Sanitation,Drainage systems get blocked during monsoons.,Positive,18-04-2023
111,Law & Order,Law enforcement should be stricter in market areas.,Neutral,11-06-2023
112,Law & Order,Law enforcement should be stricter in market areas.,Neutral,13-07-2024
113,Digital Services,Government websites often crash during peak hours.,Neutral,04-09-2024
114,Public Welfare,Subsidized food programs help low-income families.,Neutral,09-01-2024
115,Road Infrastructure,Better road signs and signals are needed in rural areas.,Positive,20-07-2024
116,Digital Services,The new mobile app for public services is user-friendly.,Positive,19-09-2023
117,Public Welfare,Subsidized food programs help low-income families.,Positive,28-03-2023
118,Law & Order,The new security cameras have improved safety.,Positive,03-03-2023
119,Healthcare,Medicines are often out of stock at government pharmacies.,Positive,15-08-2023
120,Healthcare,Medicines are often out of stock at government pharmacies.,Neutral,24-04-2023
121,Digital Services,Government websites often crash during peak hours.,Negative,09-09-2024
122,Sanitation,"Sanitation workers do a great job, but they need better equipment.",Neutral,12-12-2024
123,Law & Order,The new security cameras have improved safety.,Positive,11-01-2023
124,Electricity,The new solar power initiatives are great.,Neutral,26-01-2023
125,Road Infrastructure,Road construction takes too long to complete.,Neutral,11-05-2024
126,Healthcare,Ambulance services are not timely and need improvement.,Positive,13-01-2024
127,Road Infrastructure,Potholes on highways are dangerous.,Negative,11-05-2023
128,Sanitation,Garbage collection is not regular in our area.,Positive,17-06-2023
129,Digital Services,The new mobile app for public services is user-friendly.,Negative,06-11-2023
130,Public Welfare,Public housing projects need better maintenance.,Neutral,01-02-2023
131,Digital Services,The new mobile app for public services is user-friendly.,Neutral,18-05-2024
132,Digital Services,E-governance services need better customer support.,Neutral,17-06-2023
133,Law & Order,There are too many traffic rule violations happening.,Negative,02-06-2023
134,Public Welfare,There should be more transparency in government welfare programs.,Neutral,14-03-2023
135,Law & Order,Street crimes have increased in recent months.,Negative,22-05-2024
136,Public Transport,Traffic congestion is getting worse due to poor planning.,Negative,19-09-2023
137,Public Transport,Need more bus stops in suburban areas.,Negative,12-08-2024
138,Public Transport,Traffic congestion is getting worse due to poor planning.,Negative,16-02-2023
139,Healthcare,Medicines are often out of stock at government pharmacies.,Negative,13-04-2024
140,Road Infrastructure,New flyovers have reduced traffic congestion.,Positive,06-08-2023
141,Public Transport,Need more bus stops in suburban areas.,Negative,17-11-2023
142,Public Welfare,Subsidized food programs help low-income families.,Negative,14-05-2023
143,Law & Order,The new security cameras have improved safety.,Neutral,02-12-2023
144,Education,Public libraries need better funding.,Negative,27-02-2023
145,Public Welfare,Subsidized food programs help low-income families.,Negative,05-01-2024
146,Healthcare,Medicines are often out of stock at government pharmacies.,Neutral,14-05-2024
147,Education,The new education policy is beneficial for students.,Neutral,14-02-2023
148,Public Welfare,Job fairs organized by the government are very helpful.,Negative,01-05-2024
149,Digital Services,The passport application process was smooth and quick.,Negative,03-04-2024
150,Digital Services,The new mobile app for public services is user-friendly.,Negative,20-07-2024
151,Electricity,More electric vehicle charging stations should be installed.,Negative,02-04-2024
152,Public Transport,Need more bus stops in suburban areas.,Negative,27-08-2023
153,Law & Order,Law enforcement should be stricter in market areas.,Negative,19-03-2023
154,Road Infrastructure,New flyovers have reduced traffic congestion.,Positive,24-10-2023
155,Public Transport,Need more bus stops in suburban areas.,Negative,07-11-2023
156,Road Infrastructure,Better road signs and signals are needed in rural areas.,Negative,28-05-2024
157,Digital Services,The new mobile app for public services is user-friendly.,Neutral,22-05-2024
158,Education,Public libraries need better funding.,Positive,12-09-2023
159,Sanitation,Public toilets need better maintenance.,Positive,02-09-2024
160,Law & Order,There are too many traffic rule violations happening.,Negative,21-10-2024
161,Water Supply,There should be more awareness about water conservation.,Positive,28-08-2024
162,Law & Order,There are too many traffic rule violations happening.,Negative,06-11-2023
163,Water Supply,There should be more awareness about water conservation.,Neutral,20-02-2024
164,Water Supply,Water supply is irregular in my locality.,Negative,18-02-2023
165,Public Welfare,Public housing projects need better maintenance.,Positive,18-09-2024
166,Sanitation,Drainage systems get blocked during monsoons.,Neutral,16-06-2023
167,Healthcare,The free vaccination drive was well-organized.,Positive,21-03-2024
168,Law & Order,There are too many traffic rule violations happening.,Neutral,06-02-2024
169,Education,Government schools need more qualified teachers.,Neutral,14-03-2023
170,Public Transport,"Metro services are efficient, but the fares are increasing.",Negative,21-08-2023
171,Public Transport,"Metro services are efficient, but the fares are increasing.",Positive,24-02-2024
172,Electricity,The new solar power initiatives are great.,Neutral,28-05-2023
173,Public Welfare,The pension scheme process is very complicated.,Positive,14-04-2024
174,Education,The new education policy is beneficial for students.,Positive,13-11-2023
175,Law & Order,Police response time is too slow.,Positive,19-04-2024
176,Digital Services,The passport application process was smooth and quick.,Neutral,26-01-2024
177,Public Welfare,Subsidized food programs help low-income families.,Negative,02-03-2024
178,Law & Order,Street crimes have increased in recent months.,Negative,18-02-2023
179,Electricity,Streetlights are not working properly.,Neutral,09-09-2023
180,Law & Order,Street crimes have increased in recent months.,Positive,08-09-2024
181,Electricity,The new solar power initiatives are great.,Negative,25-06-2023
182,Road Infrastructure,Better road signs and signals are needed in rural areas.,Negative,13-05-2024
183,Electricity,Streetlights are not working properly.,Positive,13-03-2024
184,Water Supply,Sewage water is mixing with drinking water in some areas.,Neutral,22-08-2024
185,Public Welfare,There should be more transparency in government welfare programs.,Neutral,19-08-2024
186,Electricity,Streetlights are not working properly.,Negative,21-04-2023
187,Water Supply,Water supply is irregular in my locality.,Positive,19-12-2024
188,Public Transport,Buses are always late and overcrowded.,Negative,05-07-2023
189,Public Transport,Need more bus stops in suburban areas.,Neutral,27-09-2023
190,Public Transport,"Public transport needs better safety measures, especially at night.",Neutral,13-08-2023
191,Public Transport,Need more bus stops in suburban areas.,Negative,17-05-2024
192,Electricity,Streetlights are not working properly.,Negative,21-11-2023
193,Public Transport,"Metro services are efficient, but the fares are increasing.",Negative,26-04-2024
194,Electricity,More electric vehicle charging stations should be installed.,Negative,24-12-2024
195,Public Transport,Need more bus stops in suburban areas.,Negative,01-12-2023
196,Water Supply,Sewage water is mixing with drinking water in some areas.,Neutral,24-08-2023
197,Education,Midday meal quality should be monitored more strictly.,Negative,07-01-2024
198,Electricity,Electricity bills are increasing without clear justification.,Negative,25-10-2024
199,Healthcare,Medicines are often out of stock at government pharmacies.,Positive,18-08-2023
200,Public Transport,Need more bus stops in suburban areas.,Negative,13-07-2023
201,Education,The new education policy is beneficial for students.,Positive,24-06-2023
202,Healthcare,The free vaccination drive was well-organized.,Negative,15-05-2024
203,Public Welfare,There should be more transparency in government welfare programs.,Neutral,21-08-2024
204,Water Supply,Water supply is irregular in my locality.,Negative,03-07-2024
205,Public Welfare,The pension scheme process is very complicated.,Negative,28-02-2023
206,Public Welfare,The pension scheme process is very complicated.,Negative,05-08-2024
207,Education,Public libraries need better funding.,Positive,13-10-2023
208,Public Welfare,The pension scheme process is very complicated.,Positive,23-05-2024
209,Digital Services,E-governance services need better customer support.,Neutral,01-07-2023
210,Public Transport,Traffic congestion is getting worse due to poor planning.,Negative,11-01-2024
211,Public Welfare,There should be more transparency in government welfare programs.,Positive,14-08-2023
212,Road Infrastructure,Potholes on highways are dangerous.,Neutral,20-03-2023
213,Road Infrastructure,Footpaths should be maintained better for pedestrians.,Negative,06-07-2023
214,Water Supply,There should be more awareness about water conservation.,Negative,09-07-2024
215,Digital Services,Government websites often crash during peak hours.,Negative,20-03-2023
216,Law & Order,Police response time is too slow.,Neutral,06-01-2023
217,Public Transport,Traffic congestion is getting worse due to poor planning.,Positive,27-06-2023
218,Electricity,More electric vehicle charging stations should be installed.,Neutral,22-03-2024
219,Digital Services,Government websites often crash during peak hours.,Negative,18-11-2024
220,Sanitation,More dustbins should be placed in public areas.,Neutral,11-05-2024
221,Healthcare,Waiting times at public hospitals are too long.,Negative,25-01-2024
222,Public Welfare,Job fairs organized by the government are very helpful.,Positive,10-12-2023
223,Education,Online learning resources provided by the government are useful.,Neutral,03-10-2023
224,Sanitation,Garbage collection is not regular in our area.,Neutral,27-05-2023
225,Digital Services,The new mobile app for public services is user-friendly.,Negative,27-07-2024
226,Public Transport,Need more bus stops in suburban areas.,Neutral,04-04-2024
227,Road Infrastructure,Potholes on highways are dangerous.,Neutral,11-09-2023
228,Digital Services,E-governance services need better customer support.,Neutral,09-07-2024
229,Road Infrastructure,Road construction takes too long to complete.,Positive,18-09-2023
230,Public Transport,Buses are always late and overcrowded.,Positive,24-09-2023
231,Digital Services,E-governance services need better customer support.,Neutral,08-08-2023
232,Education,Online learning resources provided by the government are useful.,Negative,02-04-2024
233,Law & Order,Police response time is too slow.,Neutral,23-07-2023
234,Digital Services,Government websites often crash during peak hours.,Positive,24-12-2024
235,Healthcare,The free vaccination drive was well-organized.,Neutral,24-09-2024
236,Sanitation,Drainage systems get blocked during monsoons.,Negative,28-10-2024
237,Healthcare,Medicines are often out of stock at government pharmacies.,Positive,06-11-2024
238,Electricity,More electric vehicle charging stations should be installed.,Negative,11-06-2024
239,Digital Services,E-governance services need better customer support.,Negative,10-04-2024
240,Water Supply,There should be more awareness about water conservation.,Positive,27-06-2024
241,Healthcare,The free vaccination drive was well-organized.,Positive,18-06-2023
242,Education,Public libraries need better funding.,Positive,19-04-2023
243,Education,The new education policy is beneficial for students.,Positive,19-09-2023
244,Digital Services,E-governance services need better customer support.,Neutral,17-03-2023
245,Road Infrastructure,Footpaths should be maintained better for pedestrians.,Positive,07-04-2024
246,Electricity,The new solar power initiatives are great.,Positive,18-08-2024
247,Electricity,Electricity bills are increasing without clear justification.,Neutral,19-02-2024
248,Law & Order,There are too many traffic rule violations happening.,Neutral,13-05-2024
249,Water Supply,Water supply is irregular in my locality.,Negative,05-01-2023
250,Public Transport,Traffic congestion is getting worse due to poor planning.,Negative,28-04-2023
251,Public Welfare,Subsidized food programs help low-income families.,Positive,06-09-2024
252,Public Transport,"Metro services are efficient, but the fares are increasing.",Negative,10-04-2023
253,Digital Services,Online tax filing is very convenient now.,Positive,16-11-2023
254,Water Supply,Water supply is irregular in my locality.,Neutral,26-07-2023
255,Water Supply,Sewage water is mixing with drinking water in some areas.,Negative,18-01-2023
256,Sanitation,Public toilets need better maintenance.,Negative,24-09-2023
257,Water Supply,"Water pipelines keep leaking, causing wastage.",Neutral,26-03-2023
258,Electricity,Electricity bills are increasing without clear justification.,Neutral,24-01-2023
259,Public Welfare,Job fairs organized by the government are very helpful.,Neutral,02-09-2024
260,Water Supply,There should be more awareness about water conservation.,Negative,06-10-2024
261,Public Welfare,Job fairs organized by the government are very helpful.,Positive,22-09-2024
262,Education,Online learning resources provided by the government are useful.,Positive,07-05-2023
263,Public Transport,"Metro services are efficient, but the fares are increasing.",Negative,02-02-2024
264,Public Transport,"Public transport needs better safety measures, especially at night.",Negative,15-04-2024
265,Law & Order,Police response time is too slow.,Neutral,13-03-2023
266,Digital Services,The passport application process was smooth and quick.,Negative,07-02-2023
267,Electricity,More electric vehicle charging stations should be installed.,Positive,10-08-2024
268,Road Infrastructure,Potholes on highways are dangerous.,Positive,14-12-2023
269,Road Infrastructure,Footpaths should be maintained better for pedestrians.,Positive,25-07-2023
270,Water Supply,There should be more awareness about water conservation.,Positive,23-05-2024
271,Law & Order,Police response time is too slow.,Negative,01-10-2023
272,Public Transport,"Metro services are efficient, but the fares are increasing.",Negative,04-11-2024
273,Healthcare,Ambulance services are not timely and need improvement.,Negative,25-06-2023
274,Water Supply,"Water pipelines keep leaking, causing wastage.",Negative,24-05-2023
275,Electricity,More electric vehicle charging stations should be installed.,Positive,22-08-2023
276,Healthcare,Ambulance services are not timely and need improvement.,Neutral,24-05-2024
277,Digital Services,The passport application process was smooth and quick.,Negative,19-02-2023
278,Healthcare,Ambulance services are not timely and need improvement.,Neutral,16-06-2024
279,Education,The new education policy is beneficial for students.,Positive,26-12-2023
280,Sanitation,More dustbins should be placed in public areas.,Positive,19-10-2024
281,Water Supply,Drinking water quality has improved recently.,Negative,25-11-2023
282,Electricity,The new solar power initiatives are great.,Positive,08-10-2023
283,Digital Services,The passport application process was smooth and quick.,Positive,22-02-2024
284,Healthcare,Waiting times at public hospitals are too long.,Neutral,28-06-2024
285,Public Welfare,Subsidized food programs help low-income families.,Neutral,08-11-2023
286,Sanitation,More dustbins should be placed in public areas.,Negative,05-05-2023
287,Water Supply,"Water pipelines keep leaking, causing wastage.",Positive,25-04-2024
288,Digital Services,E-governance services need better customer support.,Neutral,01-04-2024
289,Digital Services,The passport application process was smooth and quick.,Negative,25-11-2024
290,Healthcare,Medicines are often out of stock at government pharmacies.,Neutral,15-08-2024
291,Healthcare,Ambulance services are not timely and need improvement.,Positive,05-05-2023
292,Digital Services,E-governance services need better customer support.,Positive,20-11-2023
293,Water Supply,"Water pipelines keep leaking, causing wastage.",Negative,03-12-2024
294,Law & Order,The new security cameras have improved safety.,Negative,21-07-2024
295,Healthcare,Ambulance services are not timely and need improvement.,Positive,19-10-2023
296,Healthcare,Ambulance services are not timely and need improvement.,Negative,23-06-2023
297,Road Infrastructure,Footpaths should be maintained better for pedestrians.,Negative,18-09-2023
298,Water Supply,Sewage water is mixing with drinking water in some areas.,Negative,13-10-2024
299,Public Transport,Buses are always late and overcrowded.,Negative,26-11-2024
300,Public Transport,Buses are always late and overcrowded.,Positive,20-08-2024
